sampleplotid,sampleplottype,xcoordinate,ycoordinate,volume,pinevol,sprucevol,decidvol
422768,1,354393.77,6856964.47,327.6,268.56,59.03,0
422770,1,354402.58,6856769.39,133.42,103.37,16.63,13.43
422771,1,354389.31,6856598.48,138.76,138.76,0,0
422772,1,354387.51,6856398.05,71.46,68.73,1.46,1.26
422773,1,354392.63,6856164.75,112.52,17.9,59.66,34.96
422897,1,353202.26,6849341.13,130.76,56.37,74.39,0
422898,1,353391.73,6849351.47,194.98,20.26,28.6,146.12
422899,3,353600.91,6849355.55,4.67,0,0.39,4.29
422900,1,353745.71,6849332.94,293.12,0,68.96,224.16
422901,1,353195.33,6848946.9,247.69,0,214.35,33.34
422902,1,353205.58,6848767.74,284.44,85.27,186.81,12.37
422903,1,353204.84,6848573.07,285.97,143.03,111.66,31.27
422904,4,355378.73,6849348.28,204.27,196.19,8.08,0
422905,3,355536.25,6849357.14,0,0,0,0
422906,1,355959.89,6849345.71,101.79,92.49,2.81,6.49
422907,1,356117.36,6849369.28,162.63,138.33,0.55,23.76
422908,1,355374.84,6849143.59,225.94,194.34,31.61,0
422914,1,354403.58,6848266.42,315.64,224.89,88.73,2.02
422915,1,354581.29,6848255.58,130.48,0,1.35,129.14
422916,3,354773.69,6848271.49,2.13,0.02,0.76,1.35
422917,1,354189.71,6847485.26,441.28,156.55,284.73,0
422925,1,364159.78,6847496.27,346.47,67.75,278.72,0
422942,1,367292.67,6847077.65,291.52,0,255.24,36.29
422943,1,367445.98,6847069.45,512.31,0,494.36,17.95
422944,1,367638.39,6847073.1,348.54,0,348.54,0
422945,1,367830.89,6847072.48,275.87,48.07,227.8,0
422948,4,367241.41,6846605.28,322.11,0,322.11,0
422962,4,364662.19,6846186.71,205.33,0,205.33,0
422963,1,364375.51,6846162.93,214.07,196.86,17.21,0
422966,1,364427.11,6846251.34,131.66,19.53,0,112.14
422967,4,364615.23,6846285.8,245.67,0,245.67,0
449549,4,354135.41,6856604.39,171.24,171.24,0,0
483472,4,357715.59,6849567.28,13.04,12.89,0.15,0
483777,1,357647.64,6849547.26,146.81,146.81,0,0
483778,1,357565.74,6849579.42,238,238,0,0
483779,1,357497.38,6849548.22,211.44,211.44,0,0
483780,1,357469.27,6849814.47,273.25,0,273.25,0
483789,4,357512.19,6855313.17,46.21,46.21,0,0
483790,4,357409.07,6855381.33,39.79,39.79,0,0
483791,4,357442.32,6855266.89,29.8,29.8,0,0
483792,2,357445.88,6855163.14,21.92,21.92,0,0
483798,1,364241.39,6847462.43,477.25,0,477.25,0
488269,1,350008.66,6853354.39,155.25,155.01,0.24,0
488897,4,357782.94,6849656.51,36.79,36.79,0,0
488898,4,357778.23,6849585.7,42.83,42.83,0,0
488899,4,357729.98,6849495.7,33.59,33.59,0,0
494048,1,354787.29,6855888.41,115.65,92.84,22.8,0
494049,1,354810.91,6855853.58,227.59,227.59,0,0
494050,1,354841.33,6855895.21,231.68,231.68,0,0
494051,1,354869.35,6855939.24,171.9,153.16,12.73,6.01
494052,1,354890.56,6855903.62,157.27,154.62,2.65,0
494054,1,355464.18,6855739.46,117.27,16.36,42.92,57.99
494055,1,355483.64,6855708.82,125.53,0,57.86,67.67
494056,1,355511.44,6855703.68,124.81,0,86.16,38.65
494057,1,355521.85,6855672.96,125.03,0,85.47,39.56
494102,1,357906,6849706.95,112.7,112.7,0,0
494103,1,357897.9,6849744.72,75.68,75.68,0,0
494105,1,357838.44,6849744.81,138.39,138.39,0,0
494106,1,357863.03,6849712.29,125.06,125.06,0,0
494124,1,356306.84,6854070.48,132.76,0,132.76,0
494125,1,356341.52,6854078.2,146.68,0,121.74,24.94
494126,1,356374.02,6854086.57,129.83,0,83.6,46.22
494127,1,356403.46,6854106.38,186.81,18.46,153.02,15.32
422688,1,367254.91,6862399.59,135.86,0,93.51,42.36
422689,1,367446.89,6862399.33,195.74,159.27,20.45,16.02
422690,1,367265.85,6862216.92,180.21,126.21,22.2,31.8
422691,1,367244.71,6861825.94,364.23,35.96,313.41,14.86
422692,1,367255.96,6861648.19,304.23,226.89,69.35,7.99
422699,1,367735.9,6861215.19,400.94,0,346.39,54.55
422700,2,367920.17,6861201.68,12.1,0.32,9.71,2.07
422702,1,367342.75,6860629.68,154.02,143.42,6.03,4.58
422721,1,355471.58,6858646.17,171.48,0,152.72,18.76
422722,1,355498.47,6858454.21,107.3,9.08,37.37,60.84
422723,1,355466.42,6858015.24,160.8,119.12,38.4,3.27
422724,3,355658.21,6858043.18,18.36,0.24,2.08,16.04
422725,1,355863.42,6858042.13,225.19,0,215.5,9.7
422726,1,355287.58,6857684.44,165.73,130.28,7.77,27.68
422727,1,355290.09,6857491.9,137.6,114.19,6.47,16.93
422728,1,356543.07,6858059.98,128.37,0,7.65,120.71
422729,3,356776.6,6858049.41,3.84,0,0.5,3.34
422730,1,356950.25,6858046.84,205.22,157.05,12.09,36.08
422731,3,357342.03,6858014.62,1.83,0,0,1.83
422732,1,356565.78,6857859.58,168.02,75.33,65.52,27.17
422733,1,356569.97,6857652.71,177.19,0,177.19,0
422734,1,362821.83,6858213.49,124.62,122.11,0,2.51
422735,1,362663.89,6858360.58,191.89,191.89,0,0
422736,1,362875.09,6858133.02,162.42,162.42,0,0
422737,1,362821.75,6858060.69,143.02,143.02,0,0
422769,1,355157.39,6856989.99,139.06,0,116.7,22.36
422774,2,357655.3,6856958.47,28.28,28.28,0,0
422775,1,357815.53,6856952.46,105.47,95.48,10,0
422776,1,357599.84,6856790.22,166.46,116.5,49.95,0
422777,1,357639.95,6856575.14,298.16,30.01,143.36,124.79
422778,1,359872.57,6857133.9,238.9,238.9,0,0
422781,1,360067.61,6857089.61,249.89,249.89,0,0
422804,1,359737.09,6855772.4,218.62,218.62,0,0
422805,4,359711.86,6855533.56,112.89,107.82,4.9,0.17
422806,4,359746.04,6855400.43,152.36,152.36,0,0
422807,1,359752.64,6855228.04,211.99,211.99,0,0
422852,1,362475.87,6850267.68,230.51,223.79,6.72,0
422856,1,363365.86,6849600.97,223.99,0,186.38,37.61
422857,1,363725.62,6849636.53,406.78,0,399.2,7.58
422858,2,363706.83,6849562.97,11.4,8.11,2.43,0.85
422869,4,362345.94,6851167.35,146.12,138.49,7.63,0
422870,1,362359.77,6850909.14,221.57,0,221.57,0
422871,1,362868.98,6850626.73,207.76,0,202.26,5.49
422872,1,362812.15,6850745.01,196.83,22.49,174.33,0
422873,1,362732.33,6850742.38,215.24,0,215.24,0
422874,1,361880.03,6850088.76,133.13,115.25,17.2,0.68
422875,2,363871.62,6849392.17,14.58,13.45,0.25,0.89
422876,1,362422.55,6850862.54,365.78,0,365.78,0
483457,2,362834.25,6857684.5,21.25,21.25,0,0
483463,1,362288.01,6857972.42,375.46,373.43,2.03,0
483464,1,362011.41,6858305.42,167.72,167.72,0,0
483465,1,362700.36,6858426.43,178.74,178.74,0,0
483799,1,364146.15,6847751.35,527.81,0,527.81,0
492745,1,362779.37,6857561.15,318.06,95.06,187.93,35.07
492746,1,362820.38,6857586.29,201.82,15.57,167.75,18.5
492747,1,362776.72,6857595.55,309.03,0,287.05,21.98
492748,1,362792.6,6857621.67,283.06,8.78,250.91,23.37
494036,1,361219.8,6861619.7,143.26,139.1,3.55,0.61
494037,1,361264.59,6861595.58,99.21,96.43,0.84,1.94
494038,1,361280.53,6861655.88,128.26,122.5,2.1,3.65
494039,1,361325.32,6861610.65,104.99,104.76,0,0.23
494040,1,361326.61,6861648.55,87.08,84.37,0.21,2.5
494041,1,361351.59,6861686.88,95.54,95.18,0,0.36
494042,1,363762,6859480,122.24,117.86,0,4.38
494043,1,363830,6859494,145.53,136.25,9.28,0
494044,1,363753,6859430,107.42,99.93,0,7.5
494045,1,363807,6859428,138.25,138.25,0,0
494046,1,363755,6859389,114.01,114.01,0,0
494047,1,363808,6859393,116.21,110.09,0.56,5.56
494058,1,358144.03,6856074.26,228.71,228.36,0.35,0
494059,1,358100.75,6856101.49,157.04,156.79,0.24,0
494060,1,358162.87,6856038.13,193.56,193.56,0,0
494061,1,358102.87,6856050.51,220.96,220.96,0,0
494062,1,358139.35,6855998.69,305.53,305.53,0,0
494063,1,358109.28,6856001.99,308.47,308.47,0,0
494064,2,358379.97,6856192.14,37.25,37.25,0,0
494065,2,358387.89,6856157.76,30.1,30.1,0,0
494066,2,358365.73,6856125.35,37.97,37.97,0,0
494067,2,358401.67,6856104.15,33.48,33.48,0,0
494068,2,358381.93,6856075.08,31.81,31.81,0,0
494069,1,360874.25,6856216.7,218.07,0,31.95,186.12
494070,1,360852.06,6856181.28,275.01,0,56.48,218.53
494071,1,360875.1,6856152.27,173.92,0,54.95,118.97
494072,1,360875.1,6856118.98,212.23,0,35.5,176.73
494073,1,359832.18,6853372.43,165.14,162.08,0,3.06
494074,1,359854.41,6853324.01,115.1,115.1,0,0
494075,1,359805.99,6853325.6,145.08,143.34,0,1.73
494076,1,359819.88,6853270.83,122.37,120.96,0,1.41
494077,1,359756.78,6853270.03,156.67,154.83,0,1.84
494078,1,359740.5,6853226.77,167.36,166.99,0,0.38
494079,1,359922.27,6853349.41,336.71,207.22,128.52,0.96
494080,1,359930.61,6853316.47,325.48,155.51,160.37,9.6
494081,1,359978.63,6853317.26,423.63,212.34,211.29,0
494082,1,359941.32,6853287.89,343.94,250.03,84.63,9.28
494083,1,359986.57,6853281.94,582.56,466.71,112.8,3.04
494084,1,360331.53,6853513.85,385.33,311.49,73.84,0
494085,1,360250.89,6853504.19,473.63,458.29,15.33,0
494086,1,360290.97,6853506.97,408.27,386.06,22.2,0
494087,1,360285.81,6853558.96,424,397.61,26.39,0
494088,1,360319,6853551.44,399.66,362.23,37.43,0
494089,4,360275.17,6852865.18,155.45,153.1,0.83,1.52
494090,4,360313.34,6852813.52,199.82,198.35,0.67,0.81
494091,4,360239.94,6852814.1,194.4,193.45,0.39,0.56
494092,4,360278.7,6852773.59,153.77,153.17,0,0.61
494093,4,360217.63,6852777.7,201.48,199.32,0,2.16
494095,4,360248.75,6852733.66,178.54,177.61,0,0.94
494097,1,360403.76,6852715.46,310.67,292.48,9.29,8.91
494099,1,360359.13,6852679.65,150.59,149.59,0,1
494100,1,360303.6,6852642.64,224.11,219.36,1.89,2.86
494101,1,360306.88,6852636.78,195.14,195.14,0,0
422684,1,352594.65,6863594.44,251.83,0,251.83,0
422685,1,352674.71,6863582.14,106.39,0,106.39,0
422686,1,352851.94,6863612.17,195.67,0,195.67,0
422718,1,352684.83,6863737.81,349.29,11.5,337.79,0
422720,1,352564,6863675.83,292.25,0,292.25,0
